,,PARITY_16_64,MTP Only,0x07E,126,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT3_UV_FLT_LIM,MTP Only,0x080,128,Protected,16,0x0400,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3_UV_FLT_LIM
,,IOUT3_OC_FLT_LIM,MTP Only,0x082,130,Protected,16,0xD886,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,IOUT3_UC_FLT_LIM,MTP Only,0x084,132,Protected,16,0xDFC0,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,PARITY_17_64,MTP Only,0x086,134,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT3_PGOOD_ON,MTP Only,0x088,136,Protected,16,0x0533,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3_PGOOD_ON
,,VOUT3_PGOOD_OFF,MTP Only,0x08A,138,Protected,16,0x0466,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT3_PGOOD_OFF
,,,MTP Only,0x08C,140,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:0,,
,,PARITY_18_64,MTP Only,0x08E,142,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT4,MTP Only,0x090,144,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4
,,VOUT4_MRGN_H,MTP Only,0x092,146,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4_MRGN_H
,,VOUT4_MRGN_L,MTP Only,0x094,148,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4_MRGN_L
,,PARITY_19_64,MTP Only,0x096,150,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,VOUT4_OV_FLT_LIM,MTP Only,0x098,152,Protected,16,0x10CD,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4_OV_FLT_LIM
,,VOUT4_UV_FLT_LIM,MTP Only,0x09A,154,Protected,16,0x0400,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4_UV_FLT_LIM
,,IOUT4_OC_FLT_LIM,MTP Only,0x09C,156,Protected,16,0xD886,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,PARITY_20_64,MTP Only,0x09E,158,Protected,16,,,POR,,
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,
,,IOUT4_UC_FLT_LIM,MTP Only,0x0A0,160,Protected,16,0xDFC0,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
,,,,,,,,,,Bits 9:0,,VALUE
,,VOUT4_PGOOD_ON,MTP Only,0x0A2,162,Protected,16,0x0533,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4_PGOOD_ON
,,VOUT4_PGOOD_OFF,MTP Only,0x0A4,164,Protected,16,0x0466,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VOUT4_PGOOD_OFF
,,ON_OFF_CONFIG,MTP Only,0x0A6,166,Protected,16,0x0018,,POR,,Soft-trim in glue_logic
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:5,,RSVD
,,,,,,,,,,Bit 4,,WAIT_OP
,,,,,,,,,,Bit 3,,USE_OP
,,,,,,,,,,Bit 2,,USE_CTRL
,,,,,,,,,,Bits 1:0,,NOUSE
,,IOUT_FILT_CTRL,MTP Only,0x0A8,168,Protected,16,0x0000,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 10:0,,IOUT_FILT_CTRL
,,VIN_ON_LIM,MTP Only,0x0AA,170,Protected,16,0x4CCD,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VIN_ON
,,VIN_OFF_LIM,MTP Only,0x0AC,172,Protected,16,0x4800,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:0,,VIN_OFF
,,STATUS_INPUT_MASK,MTP Only,0x0AE,174,Protected,16,0x0000,,POR,,Soft-trim in flt_ctrl
,,,,,,,,,,Bits 15:9,,PARITY
,,,,,,,,,,Bit 8,,SPARE
,,,,,,,,,,Bits 7:0,,STATUS_INPUT_MASK
,,OT_FLT_LIM,MTP Only,0x0B0,176,Protected,16,0xF208,,POR,,Soft-trim in latch_blk
,,,,,,,,,,Bits 15:11,,EXPONT
,,,,,,,,,,Bit 10,,SIGN
