,,,,,,,Bits 7:6,,OV_SOFTSW
,,,,,,,Bits 5:4,,OV_DIG_READ
,,,,,,,Bits 3:2,,OV_CPCLKM_START
,,,,,,,Bits 1:0,,OV_CPCLKM_EN
TM_OVER2,,0xCE,,,,0x00,,,
,,,,,,,Bit 1,,MAIN
,,,,,,,Bit 0,,PWR
TM_OVER3,,0xCF,,,,0x00,,,
,,,,,,,Bits 7:6,,MAIN
,,,,,,,Bit 5,,
,,,,,,,Bits 4:0,,PWR
TM_STATE0,,0xD0,,,,0x00,,,
,,,,,,,Bit 0,,REFRESH
TM_STATE1,,0xD1,,,,0x00,,,
,,,,,,,Bit 7,,COMP
,,,,,,,Bits 6:4,,
,,,,,,,Bit 3,,OVERFLOW
,,,,,,,Bit 2,,LONG
,,,,,,,Bit 1,,SHORT
,,,,,,,Bit 0,,DONE
CPCLKM_CMD,,0xD2,,,,0x00,,,
,,,,,,,Bit 5,,ECC_EN
,,,,,,,Bits 4:3,,
,,,,,,,Bits 2:0,,SIZE
CPCLKM_STATUS,,0xD3,,,,0x00,,,
,,,,,,,Bits 6:0,,ADDR
NVM_CTRL,,0xE0,,,,0x13,,,
,,,,,,,Bit 7,,LOOP
,,,,,,,Bit 6,,
,,,,,,,Bits 5:4,,START_PAGE
,,,,,,,Bit 3,,
,,,,,,,Bit 2,,RELOAD_CMD
,,,,,,,Bit 1,,READ_CMD
,,,,,,,Bit 0,,WRITE_CMD
NVM_ADDR,,0xE1,,,,0x00,,,
,,,,,,,Bit 7,,DBE
,,,,,,,Bit 6,,SBE
,,,,,,,Bits 5:4,,LOAD_PAGE
,,,,,,,Bit 3,,LOAD_ERR
,,,,,,,Bit 2,,RELOAD_DONE
,,,,,,,Bit 1,,READ_DONE
,,,,,,,Bit 0,,WRITE_DONE
NVM_CMD,,0xE2,,,,0x00,,,
,,,,,,,Bit 7,,TM_PWE
,,,,,,,Bit 6,,TM_PRD
,,,,,,,Bits 5:4,,
,,,,,,,Bits 3:1,,PTM
,,,,,,,Bit 0,,PPROG
NVM_STATUS,,0xE3,,,,0x00,,,
,,,,,,,Bit 0,,VPP_ON
OTP_CTRL0,,0xE4,,,,0x00,,,
,,,,,,,Bits 7:0,,WTIM_LO
OTP_CTRL1,,0xE5,,,,0x00,,,
,,,,,,,Bits 7:0,,WTIM_HI
OTP_WTIM0,,0xE6,,,,0x3C,,,
,,,,,,,Bits 7:0,,DATA0
OTP_WTIM1,,0xE7,,,,0x0F,,,
,,,,,,,Bits 7:0,,DATA1
NVM_DATA0,,0xE8,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA2
NVM_DATA1,,0xE9,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA3
NVM_DATA2,,0xEA,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA4
NVM_DATA3,,0xEB,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA5
NVM_DATA4,,0xEC,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA6
NVM_DATA5,,0xED,,,,0x00,,,
,,,,,,,Bits 7:0,,DATA7
NVM_DATA6,,0xEE,,,,0x00,,,
,,,,,,,Bits 7:4,,ECO
,,,,,,,Bits 3:0,,BASE
NVM_DATA7,,0xEF,,,,0x00,,,
,,,,,,,,,
DIE_REV,,0xFD,,,,0x00,,,
,,,,,,,,,
CHIP_ID,,0xFE,,,,0x16,,,
,,,,,,,,,
PSEMI_ID,,0xFF,,,,0x95,,,
