TM_ADDR_A,RW,0xC6,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,ADDR_A
TM_ADDR_D,RW,0xC7,0,,8,,,,Regs,
,,,,,,,,Bits 7:0,,ADDR_D
TM_CP0,RW,0xC8,0,,8,,,,Regs,
,,,,,,,,Bit 7,,BSTA
,,,,,,,,Bit 6,,BSTP
,,,,,,,,Bit 5,,SWD
,,,,,,,,Bit 4,,SWC
,,,,,,,,Bit 3,,SWB
,,,,,,,,Bit 2,,SWA
,,,,,,,,Bit 1,,PHS
,,,,,,,,Bit 0,,PLS
TM_CP1,RW,0xC9,0,,8,,,,Regs,
,,,,,,,,Bit 7,,LMD
,,,,,,,,Bit 6,,LMC
,,,,,,,,Bit 5,,LMB
,,,,,,,,Bit 4,,SS
,,,,,,,,Bit 3,,SSPH
,,,,,,,,Bit 2,,BSTD
,,,,,,,,Bit 1,,BSTC
,,,,,,,,Bit 0,,BSTB
TM_CP2,RW,0xCA,0,,8,,,,Regs,
,,,,,,,,Bits 7:3,,CS
,,,,,,,,Bit 2,,UVTH
,,,,,,,,Bit 1,,ENPD
,,,,,,,,Bit 0,,CSALL
TM_REF,RW,0xCB,0,,2,,,,Regs,
,,,,,,,,Bit 1,,PORB
,,,,,,,,Bit 0,,REFBIAS
TM_OVER0,RW,0xCC,0,,8,,,,Regs,
,,,,,,,,Bits 7:6,,OV_DISCHARGE
,,,,,,,,Bits 5:4,,OV_RATIO1
,,,,,,,,Bits 3:2,,OV_RATIO0
,,,,,,,,Bits 1:0,,OV_BOOST_MODE
TM_OVER1,RW,0xCD,0,,8,,,,Regs,
,,,,,,,,Bits 7:6,,OV_EN_CP
,,,,,,,,Bits 5:4,,OV_STATE2
,,,,,,,,Bits 3:2,,OV_STATE1
,,,,,,,,Bits 1:0,,OV_STATE0
TM_OVER2,RW,0xCE,0,,8,,,,Regs,
,,,,,,,,Bits 7:6,,OV_PGOOD_PD_N
,,,,,,,,Bits 5:4,,OV_PGOOD_VALID
,,,,,,,,Bits 3:2,,OV_PGATE_EN
,,,,,,,,Bits 1:0,,OV_EN_DIGITAL
TM_OVER3,RW,0xCF,0,,8,,,,Regs,
,,,,,,,,Bits 7:6,,OV_SOFTSW
,,,,,,,,Bits 5:4,,OV_DIG_READ
,,,,,,,,Bits 3:2,,OV_CPCLKM_START
,,,,,,,,Bits 1:0,,OV_CPCLKM_EN
TM_STATE0,RW,0xD0,0,,2,,,,Regs,
,,,,,,,,Bit 1,,MAIN
,,,,,,,,Bit 0,,PWR
TM_STATE1,RW,0xD1,0,,8,,,,Regs,
,,,,,,,,Bits 7:6,,MAIN
,,,,,,,,Bit 5,,
,,,,,,,,Bits 4:0,,PWR
CPCLKM_CMD,RW,0xD2,0,,1,,,,Regs,
